,time_bin,A,B,date,time_ns
58,58,921.7711904761904,467.78,20230420,7.25
59,59,897.7711904761904,471.78000000000003,20230420,7.375
60,60,883.7711904761904,427.78000000000003,20230420,7.5
61,61,862.7711904761904,452.78000000000003,20230420,7.625
62,62,800.7711904761904,407.78000000000003,20230420,7.75
63,63,776.7711904761904,371.7800000000001,20230420,7.875
64,64,769.7711904761907,374.7800000000001,20230420,8.0
65,65,714.7711904761904,364.7800000000001,20230420,8.125
66,66,713.7711904761904,377.7800000000001,20230420,8.25
67,67,720.7711904761904,336.7800000000001,20230420,8.375
68,68,617.7711904761904,309.78000000000003,20230420,8.5
69,69,597.7711904761904,328.78000000000003,20230420,8.625
70,70,625.7711904761904,304.78000000000003,20230420,8.75
71,71,570.7711904761904,327.7800000000001,20230420,8.875
72,72,586.7711904761907,292.78000000000003,20230420,9.0
73,73,513.7711904761904,285.78000000000003,20230420,9.125
74,74,495.7711904761905,237.78,20230420,9.25
75,75,527.7711904761904,295.78000000000003,20230420,9.375
76,76,479.7711904761905,242.78,20230420,9.5
77,77,464.7711904761905,219.78,20230420,9.625
78,78,488.7711904761905,206.78,20230420,9.75
79,79,429.7711904761905,216.78,20230420,9.875
80,80,395.7711904761905,216.78,20230420,10.0
81,81,426.7711904761905,214.78,20230420,10.125
82,82,343.7711904761905,191.78,20230420,10.25
83,83,382.7711904761905,170.78,20230420,10.375
84,84,366.7711904761905,214.78,20230420,10.5
85,85,364.7711904761905,183.78,20230420,10.625
86,86,355.7711904761905,205.77999999999997,20230420,10.75
87,87,313.7711904761905,166.77999999999997,20230420,10.875
88,88,337.7711904761905,180.78,20230420,11.0
89,89,314.7711904761905,164.78000000000003,20230420,11.125
90,90,289.7711904761905,157.78,20230420,11.25
91,91,296.7711904761905,167.77999999999997,20230420,11.375
92,92,238.77119047619044,135.78,20230420,11.5
93,93,239.77119047619047,131.78,20230420,11.625
94,94,261.77119047619044,115.78000000000002,20230420,11.75
95,95,239.77119047619044,118.78000000000002,20230420,11.875
96,96,235.77119047619044,111.78000000000003,20230420,12.0
97,97,176.77119047619047,127.78000000000004,20230420,12.125
98,98,230.77119047619044,116.78000000000002,20230420,12.25
99,99,228.77119047619047,99.78000000000003,20230420,12.375
100,0,154.53095238095239,82.05071428571429,20230424,0.0
101,1,172.53095238095239,67.0507142857143,20230424,0.125
102,2,166.53095238095239,72.0507142857143,20230424,0.25
103,3,164.53095238095239,87.05071428571428,20230424,0.375
104,4,157.53095238095239,79.0507142857143,20230424,0.5
105,5,119.53095238095239,77.0507142857143,20230424,0.625
106,6,220.53095238095239,164.05071428571424,20230424,0.75
107,7,217.53095238095239,204.05071428571424,20230424,0.875
108,8,140.53095238095236,86.0507142857143,20230424,1.0
109,9,136.53095238095239,72.0507142857143,20230424,1.125
110,10,152.53095238095236,91.05071428571428,20230424,1.25
111,11,142.53095238095236,64.05071428571428,20230424,1.375
112,12,103.53095238095239,55.050714285714285,20230424,1.5
113,13,115.53095238095239,67.05071428571429,20230424,1.625
114,14,99.53095238095239,67.05071428571429,20230424,1.75
115,15,93.53095238095239,61.050714285714285,20230424,1.875
116,16,86.53095238095239,56.050714285714285,20230424,2.0
117,17,107.53095238095239,69.05071428571429,20230424,2.125
118,18,228.53095238095239,102.05071428571429,20230424,2.25
119,19,776.5309523809523,415.05071428571426,20230424,2.375
120,20,1341.5309523809526,728.0507142857143,20230424,2.5
121,21,2027.5309523809524,1059.050714285714,20230424,2.625
122,22,2597.530952380952,1334.0507142857139,20230424,2.75
123,23,2928.530952380952,1552.0507142857139,20230424,2.875
124,24,3035.530952380952,1633.0507142857139,20230424,3.0
125,25,3005.530952380952,1606.0507142857139,20230424,3.125
126,26,2909.530952380952,1606.0507142857143,20230424,3.25
127,27,2994.530952380952,1539.0507142857139,20230424,3.375
128,28,2727.530952380952,1437.0507142857139,20230424,3.5
129,29,2744.530952380952,1376.0507142857139,20230424,3.625
130,30,2515.530952380952,1215.050714285714,20230424,3.75
131,31,2339.530952380953,1245.0507142857143,20230424,3.875
132,32,2349.530952380953,1241.0507142857143,20230424,4.0
133,33,2284.530952380953,1182.050714285714,20230424,4.125
134,34,2105.530952380953,1075.050714285714,20230424,4.25
135,35,1990.5309523809524,1031.0507142857143,20230424,4.375
136,36,1955.5309523809524,992.0507142857142,20230424,4.5
137,37,1813.5309523809524,939.0507142857142,20230424,4.625
138,38,1738.5309523809524,870.0507142857142,20230424,4.75
139,39,1745.5309523809524,911.0507142857142,20230424,4.875
140,40,1585.5309523809524,805.0507142857142,20230424,5.0
141,41,1554.5309523809524,799.0507142857142,20230424,5.125
142,42,1528.5309523809524,801.0507142857142,20230424,5.25
143,43,1379.5309523809526,723.0507142857143,20230424,5.375
144,44,1358.5309523809526,730.0507142857143,20230424,5.5
145,45,1292.5309523809526,713.0507142857142,20230424,5.625
146,46,1233.5309523809526,677.0507142857143,20230424,5.75
147,47,1225.5309523809526,599.0507142857143,20230424,5.875
148,48,1099.5309523809526,649.0507142857143,20230424,6.0
149,49,1116.5309523809526,543.0507142857143,20230424,6.125
150,50,1034.5309523809526,560.0507142857143,20230424,6.25
151,51,1022.5309523809525,541.0507142857143,20230424,6.375
152,52,978.5309523809525,505.05071428571426,20230424,6.5
153,53,997.5309523809525,491.05071428571426,20230424,6.625
154,54,963.5309523809525,451.05071428571426,20230424,6.75
155,55,867.5309523809523,433.05071428571426,20230424,6.875
156,56,801.5309523809523,446.05071428571426,20230424,7.0
157,57,866.5309523809523,414.05071428571426,20230424,7.125
158,58,773.5309523809523,407.05071428571426,20230424,7.25
159,59,760.5309523809523,404.05071428571426,20230424,7.375
160,60,684.5309523809523,386.05071428571426,20230424,7.5
