,diffusion_time_ns,delay_us,crescent_saturation,counts_x,counts_y,replicate
624,73394,360,6.25,1035,2122,0
625,73394,360,6.25,968,2117,1
626,73394,360,6.25,967,2191,2
627,73394,360,6.25,950,2167,3
628,73394,360,6.25,1033,2205,4
629,73394,360,6.25,1036,2171,5
630,73394,420,0.01,3631,7996,0
631,73394,420,0.01,3548,7773,1
632,73394,420,0.01,3608,7980,2
633,73394,420,0.01,3604,8059,3
634,73394,420,0.01,3619,8037,4
635,73394,420,0.01,3587,7829,5
636,73394,420,0.05,3484,7655,0
637,73394,420,0.05,3464,7635,1
638,73394,420,0.05,3395,7648,2
639,73394,420,0.05,3343,7535,3
640,73394,420,0.05,3455,7546,4
641,73394,420,0.05,3453,7650,5
642,73394,420,0.25,2898,6239,0
643,73394,420,0.25,2881,6273,1
644,73394,420,0.25,2937,6264,2
645,73394,420,0.25,2888,6277,3
646,73394,420,0.25,2786,6366,4
647,73394,420,0.25,2785,6246,5
648,73394,420,1.25,1818,4067,0
649,73394,420,1.25,1836,3939,1
650,73394,420,1.25,1766,3862,2
651,73394,420,1.25,1808,4003,3
652,73394,420,1.25,1757,4072,4
653,73394,420,1.25,1761,3926,5
654,73394,420,6.25,944,2044,0
655,73394,420,6.25,939,2031,1
656,73394,420,6.25,967,2123,2
657,73394,420,6.25,949,2127,3
658,73394,420,6.25,949,2036,4
659,73394,420,6.25,961,2078,5
660,73394,480,0.01,3356,7469,0
661,73394,480,0.01,3526,7521,1
662,73394,480,0.01,3497,7623,2
663,73394,480,0.01,3365,7360,3
664,73394,480,0.01,3395,7681,4
665,73394,480,0.01,3397,7543,5
666,73394,480,0.05,3267,7255,0
667,73394,480,0.05,3307,7218,1
668,73394,480,0.05,3189,7072,2
669,73394,480,0.05,3223,7106,3
670,73394,480,0.05,3276,7176,4
671,73394,480,0.05,3289,7148,5
672,73394,480,0.25,2703,5825,0
673,73394,480,0.25,2631,5916,1
674,73394,480,0.25,2672,5732,2
675,73394,480,0.25,2721,5949,3
676,73394,480,0.25,2705,5885,4
677,73394,480,0.25,2652,5911,5
678,73394,480,1.25,1719,3797,0
679,73394,480,1.25,1727,3642,1
680,73394,480,1.25,1671,3719,2
681,73394,480,1.25,1727,3763,3
682,73394,480,1.25,1660,3739,4
683,73394,480,1.25,1642,3586,5
684,73394,480,6.25,809,1861,0
685,73394,480,6.25,857,1958,1
686,73394,480,6.25,862,1958,2
687,73394,480,6.25,929,1907,3
688,73394,480,6.25,878,1990,4
689,73394,480,6.25,886,1979,5
690,73394,540,0.01,3191,7061,0
691,73394,540,0.01,3166,7141,1
692,73394,540,0.01,3120,7078,2
693,73394,540,0.01,3238,7097,3
694,73394,540,0.01,3264,7107,4
695,73394,540,0.01,3118,7052,5
696,73394,540,0.05,3058,6704,0
697,73394,540,0.05,2981,6713,1
698,73394,540,0.05,3108,6815,2
699,73394,540,0.05,3029,6781,3
700,73394,540,0.05,3024,6745,4
701,73394,540,0.05,3054,6852,5
702,73394,540,0.25,2540,5669,0
703,73394,540,0.25,2476,5627,1
704,73394,540,0.25,2599,5527,2
705,73394,540,0.25,2469,5655,3
706,73394,540,0.25,2523,5598,4
707,73394,540,0.25,2476,5533,5
708,73394,540,1.25,1581,3509,0
709,73394,540,1.25,1554,3554,1
710,73394,540,1.25,1607,3481,2
711,73394,540,1.25,1570,3651,3
712,73394,540,1.25,1655,3490,4
713,73394,540,1.25,1528,3583,5
714,73394,540,6.25,836,1811,0
