,time_bin,A,B,date,time_ns
56,56,436.75738095238097,215.25285714285712,20230410,7.0
57,57,400.75738095238097,235.25285714285712,20230410,7.125
58,58,398.75738095238097,233.25285714285712,20230410,7.25
59,59,387.75738095238097,239.2528571428571,20230410,7.375
60,60,367.75738095238097,209.25285714285712,20230410,7.5
61,61,334.75738095238097,220.25285714285712,20230410,7.625
62,62,346.75738095238097,205.25285714285712,20230410,7.75
63,63,331.75738095238097,190.25285714285712,20230410,7.875
64,64,349.75738095238097,193.25285714285712,20230410,8.0
65,65,305.75738095238097,147.25285714285712,20230410,8.125
66,66,260.75738095238097,177.25285714285715,20230410,8.25
67,67,286.75738095238097,177.25285714285712,20230410,8.375
68,68,300.75738095238097,145.25285714285712,20230410,8.5
69,69,249.75738095238097,154.25285714285712,20230410,8.625
70,70,276.75738095238097,131.25285714285712,20230410,8.75
71,71,221.7573809523809,136.25285714285715,20230410,8.875
72,72,210.75738095238097,143.25285714285712,20230410,9.0
73,73,207.75738095238097,118.25285714285715,20230410,9.125
74,74,203.75738095238097,93.25285714285715,20230410,9.25
75,75,190.7573809523809,133.25285714285712,20230410,9.375
76,76,223.7573809523809,98.25285714285715,20230410,9.5
77,77,183.75738095238094,88.25285714285715,20230410,9.625
78,78,165.7573809523809,93.25285714285715,20230410,9.75
79,79,152.7573809523809,100.25285714285715,20230410,9.875
80,80,143.75738095238097,75.25285714285717,20230410,10.0
81,81,142.75738095238097,81.25285714285715,20230410,10.125
82,82,151.75738095238094,93.25285714285715,20230410,10.25
83,83,132.75738095238097,82.25285714285715,20230410,10.375
84,84,114.75738095238097,70.25285714285717,20230410,10.5
85,85,127.75738095238097,78.25285714285717,20230410,10.625
86,86,126.75738095238097,63.25285714285716,20230410,10.75
87,87,107.75738095238097,63.252857142857145,20230410,10.875
88,88,120.75738095238097,72.25285714285715,20230410,11.0
89,89,94.75738095238097,45.25285714285715,20230410,11.125
90,90,76.75738095238094,59.25285714285716,20230410,11.25
91,91,113.75738095238097,55.25285714285716,20230410,11.375
92,92,91.75738095238097,65.25285714285715,20230410,11.5
93,93,119.75738095238097,55.252857142857145,20230410,11.625
94,94,84.75738095238094,59.252857142857145,20230410,11.75
95,95,50.75738095238096,52.252857142857145,20230410,11.875
96,96,78.75738095238097,65.25285714285714,20230410,12.0
97,97,68.75738095238096,47.25285714285715,20230410,12.125
98,98,56.75738095238095,47.252857142857145,20230410,12.25
99,99,91.75738095238097,44.252857142857145,20230410,12.375
100,0,71.87761904761905,35.46595238095239,20230411,0.0
101,1,84.87761904761904,36.46595238095238,20230411,0.125
102,2,69.87761904761902,37.46595238095239,20230411,0.25
103,3,71.87761904761902,32.46595238095238,20230411,0.375
104,4,107.87761904761902,35.46595238095238,20230411,0.5
105,5,80.87761904761902,48.46595238095239,20230411,0.625
106,6,84.87761904761902,45.46595238095238,20230411,0.75
107,7,70.87761904761904,38.46595238095239,20230411,0.875
108,8,74.87761904761902,14.46595238095238,20230411,1.0
109,9,70.87761904761902,26.46595238095238,20230411,1.125
110,10,76.87761904761902,34.46595238095239,20230411,1.25
111,11,61.87761904761904,35.46595238095238,20230411,1.375
112,12,85.87761904761904,21.46595238095238,20230411,1.5
113,13,38.87761904761904,23.46595238095238,20230411,1.625
114,14,68.87761904761904,39.46595238095239,20230411,1.75
115,15,51.87761904761904,24.46595238095238,20230411,1.875
116,16,34.87761904761905,31.46595238095238,20230411,2.0
117,17,51.87761904761904,53.46595238095238,20230411,2.125
118,18,252.87761904761905,101.46595238095239,20230411,2.25
119,19,652.877619047619,286.46595238095233,20230411,2.375
120,20,987.877619047619,534.4659523809523,20230411,2.5
121,21,1444.8776190476192,734.4659523809526,20230411,2.625
122,22,1763.8776190476192,895.4659523809524,20230411,2.75
123,23,1878.8776190476192,975.4659523809524,20230411,2.875
124,24,1793.8776190476192,1002.4659523809526,20230411,3.0
125,25,1826.8776190476192,1010.4659523809526,20230411,3.125
126,26,1785.8776190476192,1005.4659523809524,20230411,3.25
127,27,1791.8776190476192,907.4659523809524,20230411,3.375
128,28,1635.8776190476192,871.4659523809524,20230411,3.5
129,29,1571.8776190476192,866.4659523809524,20230411,3.625
130,30,1570.8776190476192,808.4659523809524,20230411,3.75
131,31,1416.8776190476192,803.4659523809526,20230411,3.875
132,32,1329.8776190476192,683.4659523809526,20230411,4.0
133,33,1290.8776190476192,721.4659523809526,20230411,4.125
134,34,1262.8776190476192,655.4659523809524,20230411,4.25
135,35,1224.8776190476192,669.4659523809526,20230411,4.375
136,36,1191.8776190476192,618.4659523809524,20230411,4.5
137,37,1070.877619047619,563.4659523809523,20230411,4.625
138,38,1037.877619047619,549.4659523809523,20230411,4.75
139,39,1044.877619047619,565.4659523809523,20230411,4.875
140,40,910.877619047619,503.46595238095233,20230411,5.0
141,41,970.877619047619,518.4659523809523,20230411,5.125
142,42,870.877619047619,443.46595238095233,20230411,5.25
143,43,822.877619047619,442.46595238095233,20230411,5.375
144,44,843.877619047619,446.46595238095233,20230411,5.5
145,45,766.877619047619,392.4659523809524,20230411,5.625
146,46,749.877619047619,439.46595238095233,20230411,5.75
147,47,706.877619047619,397.46595238095233,20230411,5.875
148,48,682.877619047619,345.46595238095233,20230411,6.0
149,49,604.877619047619,345.46595238095233,20230411,6.125
150,50,653.877619047619,315.4659523809524,20230411,6.25
151,51,576.877619047619,329.46595238095233,20230411,6.375
152,52,621.877619047619,317.4659523809524,20230411,6.5
153,53,555.877619047619,298.46595238095233,20230411,6.625
154,54,563.877619047619,279.4659523809524,20230411,6.75
155,55,577.877619047619,273.4659523809524,20230411,6.875
156,56,447.877619047619,249.46595238095233,20230411,7.0
157,57,482.877619047619,224.46595238095233,20230411,7.125
158,58,435.877619047619,252.4659523809524,20230411,7.25
159,59,428.877619047619,214.46595238095233,20230411,7.375
160,60,399.877619047619,218.46595238095233,20230411,7.5
161,61,393.877619047619,220.4659523809524,20230411,7.625
162,62,363.877619047619,232.46595238095233,20230411,7.75
163,63,342.877619047619,200.46595238095233,20230411,7.875
164,64,359.877619047619,188.46595238095233,20230411,8.0
165,65,356.877619047619,155.4659523809524,20230411,8.125
166,66,373.877619047619,170.4659523809524,20230411,8.25
167,67,292.877619047619,151.4659523809524,20230411,8.375
168,68,297.877619047619,170.4659523809524,20230411,8.5
169,69,293.877619047619,169.4659523809524,20230411,8.625
170,70,276.877619047619,125.46595238095239,20230411,8.75
171,71,261.877619047619,152.4659523809524,20230411,8.875
172,72,249.87761904761905,162.4659523809524,20230411,9.0
173,73,225.87761904761905,143.4659523809524,20230411,9.125
174,74,234.87761904761905,114.46595238095237,20230411,9.25
175,75,185.87761904761905,130.4659523809524,20230411,9.375
176,76,214.87761904761905,111.46595238095239,20230411,9.5
177,77,229.87761904761905,112.46595238095237,20230411,9.625
178,78,223.87761904761905,91.46595238095237,20230411,9.75
179,79,200.87761904761905,126.46595238095237,20230411,9.875
180,80,173.87761904761905,66.46595238095237,20230411,10.0
181,81,192.87761904761905,93.46595238095239,20230411,10.125
182,82,184.87761904761905,101.46595238095237,20230411,10.25
183,83,177.87761904761905,59.46595238095238,20230411,10.375
184,84,147.87761904761905,101.46595238095237,20230411,10.5
185,85,152.87761904761905,69.46595238095237,20230411,10.625
186,86,153.87761904761905,91.46595238095239,20230411,10.75
187,87,129.87761904761902,59.46595238095238,20230411,10.875
188,88,98.87761904761902,59.46595238095238,20230411,11.0
189,89,141.87761904761905,81.46595238095239,20230411,11.125
190,90,133.87761904761902,45.46595238095238,20230411,11.25
191,91,107.87761904761902,61.46595238095238,20230411,11.375
192,92,79.87761904761902,68.46595238095239,20230411,11.5
193,93,105.87761904761902,59.46595238095238,20230411,11.625
194,94,97.87761904761902,58.46595238095239,20230411,11.75
195,95,93.87761904761902,56.46595238095238,20230411,11.875
196,96,82.87761904761902,76.46595238095239,20230411,12.0
197,97,101.87761904761902,36.46595238095238,20230411,12.125
198,98,104.87761904761902,50.46595238095239,20230411,12.25
199,99,85.87761904761902,47.46595238095239,20230411,12.375
