,time_ns,avg_x_squared,avg_y_squared,avg_z_squared,diff_time_ns
79,15800,0.29545092902950265,0.29416575912942033,0.4103833118410772,21746
80,16000,0.296188952963204,0.2958183854226087,0.4079926616141874,21746
81,16200,0.29796241566302595,0.2965338080535473,0.4055037762834269,21746
82,16400,0.29851655663125687,0.29811458221855824,0.40336886115018505,21746
83,16600,0.2984857228632986,0.3001321554118576,0.4013821217248439,21746
84,16800,0.3001839138880673,0.30087582320787376,0.398940262904059,21746
85,17000,0.3003464860807298,0.30102908594538624,0.39862442797388414,21746
86,17200,0.30066070893252883,0.3025103044065716,0.3968289866608997,21746
87,17400,0.30171924738798916,0.3033478406390514,0.39493291197295954,21746
88,17600,0.30205903362619263,0.3049366740620761,0.3930042923117314,21746
89,17800,0.30291120505740954,0.3055388447660792,0.3915499501765114,21746
90,18000,0.3038510232358394,0.30631795713950577,0.3898310196246549,21746
